,Source.Name,,created_at,,id,,like_count,quote_count,reply_count,retweet_count,,tweet,,CLEANED
202,FinancialTimesv3_0906.csv,,02/09/2020 21:00,,68,,3,0,0,1,,"Companies have raised more debt in the US bond market this year than ever before, totalling $1.919tn in 2020 so far https://t.co/6qg1sqTMVP",,Companies have raised more debt in the US bond market this year than ever before totalling 1919tn in 2020 so far httpstco6qg1sqTMVP
197,FinancialTimesv3_0906.csv,,02/09/2020 23:00,,69,,6,1,0,2,,"Farmers in the US are in line for record handouts from Washington this year, with direct federal payments forecasted to hit $37bn https://t.co/aw9Ht0ShdG",,Farmers in the US are in line for record handouts from Washington this year with direct federal payments forecasted to hit 37bn httpstcoaw9Ht0ShdG
195,FinancialTimesv3_0906.csv,,03/09/2020 00:00,,70,,3,0,0,2,,"Time to rethink how we run public finances and markets? Join former Greek finance minister @yanisvaroufakis, the FT's @GillianTett and @MerrynSW for a session on post-Covid capitalism TODAY at the #FTWeekendFestival. Sign up here: https://t.co/IqRjPPtZui https://t.co/0G4w9jYb7t",,Time to rethink how we run public finances and markets? Join former Greek finance minister yanisvaroufakis the FTs GillianTett and MerrynSW for a session on postCovid capitalism TODAY at the FTWeekendFestival Sign up here httpstcoIqRjPPtZui httpstco0G4w9jYb7t
191,FinancialTimesv3_0906.csv,,03/09/2020 03:19,,71,,4,0,1,2,,The strange comfort of a five-eyed monster https://t.co/pepDEgj4WM,,The strange comfort of a fiveeyed monster httpstcopepDEgj4WM
189,FinancialTimesv3_0906.csv,,03/09/2020 05:20,,72,,0,0,0,2,,Hong Kong: Beijing cracks down while the financial centre thrives https://t.co/qcSfHMWMrT,,Hong Kong Beijing cracks down while the financial centre thrives httpstcoqcSfHMWMrT
185,FinancialTimesv3_0906.csv,,03/09/2020 05:23,,73,,0,0,0,2,,Home truths in the eastern Mediterranean https://t.co/xNS09gDMIm,,Home truths in the eastern Mediterranean httpstcoxNS09gDMIm
186,FinancialTimesv3_0906.csv,,03/09/2020 05:23,,74,,8,0,9,2,,Biggest banks sustain coal financing despite defunding drive https://t.co/PMBqoJaC4c,,Biggest banks sustain coal financing despite defunding drive httpstcoPMBqoJaC4c
184,FinancialTimesv3_0906.csv,,03/09/2020 05:25,,75,,11,1,2,2,,Hong Kong steps up currency interventions to most since 2009 https://t.co/xjXpXsKgsQ,,Hong Kong steps up currency interventions to most since 2009 httpstcoxjXpXsKgsQ
183,FinancialTimesv3_0906.csv,,03/09/2020 05:27,,76,,12,0,0,2,,Bullish Switzerland moves on from lockdown and focuses on economy https://t.co/8D40VARHXQ,,Bullish Switzerland moves on from lockdown and focuses on economy httpstco8D40VARHXQ
181,FinancialTimesv3_0906.csv,,03/09/2020 05:49,,77,,22,0,0,2,,Wirecard and me: Dan McCrum on exposing a criminal enterprise https://t.co/zgHMSFOD6T,,Wirecard and me Dan McCrum on exposing a criminal enterprise httpstcozgHMSFOD6T
180,FinancialTimesv3_0906.csv,,03/09/2020 06:01,,78,,10,1,0,2,,Kenosha thrust into spotlight in debate over police violence https://t.co/SwTu65MbKY,,Kenosha thrust into spotlight in debate over police violence httpstcoSwTu65MbKY
