,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
2145,4898091,2020-01-04 03:15:16+00:00, ,1213297816698789894,en,38,1,0,16,SocialFlow,2020 visions: the year ahead in books https://t.co/izdPwpIcMP
2143,4898091,2020-01-04 04:01:03+00:00, ,1213309340259627008,en,79,3,0,26,SocialFlow,83 books to look out for this year https://t.co/xNdKDMT2s0
2140,4898091,2020-01-04 09:03:01+00:00, ,1213385333506744320,en,35,5,3,10,SocialFlow,"Of the hundred most expensive works ever sold, none is by a woman. Will female artists get a better deal in 2020? https://t.co/4onnK9kNOW"
2138,4898091,2020-01-04 11:53:08+00:00, ,1213428143282966528,en,26,2,1,19,SocialFlow,Iran draws parallels with Soleimani assassination and 1953 coup https://t.co/ruuwX83G0b
2134,4898091,2020-01-04 14:03:05+00:00, ,1213460847021953029,en,12,0,2,1,SocialFlow,"Ridiculously beautiful views and even more ridiculously well-executed seafood — Tim Hayward reviews Seabird, London https://t.co/Z4VXRjtwSg"
2129,4898091,2020-01-04 20:04:04+00:00, ,1213551689766260736,en,27,2,2,15,SocialFlow,Uber is learning that the disrupter economy works both ways as their drivers exercise their rights to flexibility — Joy Lo Dico https://t.co/0q7DoB38rl
2128,4898091,2020-01-04 21:42:19+00:00, ,1213576418090737671,en,0,0,0,115,SocialFlow,"RT @HenryJFoy: Over vodka and roast duck, Russian tycoon Alisher Usmanov and I talk power, profit and Putin, and how you make a $16.5bn for…"
2126,4898091,2020-01-04 22:05:07+00:00, ,1213582152874545154,en,112,3,0,43,SocialFlow,"From Chad to Albania, Turkey to Uruguay, these are the most exciting places to go in 2020 https://t.co/4KtWjmm6Cj"
2123,4898091,2020-01-05 03:04:01+00:00, ,1213657376777277441,en,20,0,0,5,SocialFlow,The wait for the last book in JM Coetzee’s enigmatic trilogy is finally over https://t.co/EBhLNZvcHV
2122,4898091,2020-01-05 05:02:03+00:00, ,1213687077352673280,en,17,3,1,8,SocialFlow,"'What younger consumers demand from luxury is a real sense of culture and community' — Highsnobiety founder 
David Fischer https://t.co/P7a1qcftIm"
2120,4898091,2020-01-05 05:05:37+00:00, ,1213687975952953344,en,62,5,1,18,SocialFlow,Let’s rebrand a bit of time-wasting as healthy living https://t.co/1fgosSyrx8
2118,4898091,2020-01-05 05:39:29+00:00, ,1213696498170580993,en,26,2,3,9,SocialFlow,High demand prompts launch of Europe’s first cannabis ETF https://t.co/wuL7iEzMOq
2117,4898091,2020-01-05 05:39:29+00:00, ,1213696498237616128,en,33,1,2,9,SocialFlow,"What to look for at CES 2020: 8K TV, the passenger economy and ‘smart everything’ https://t.co/4ET35tHNOh"
2113,4898091,2020-01-05 10:57:15+00:00, ,1213776466653171712,en,31,7,10,19,SocialFlow,Donald Trump threatens 52 targets if Iran takes revenge https://t.co/c9LzgJnOp7
2110,4898091,2020-01-05 12:12:37+00:00, ,1213795434952613889,en,29,3,7,20,SocialFlow,"Can Vietnam's rice bowl and its biggest fishery survive the effects of climate change, sand mining and the effects of dams in Laos and China? 
https://t.co/ZD3rYyuWws"
2108,4898091,2020-01-05 13:05:06+00:00, ,1213808641574408192,en,25,3,2,7,SocialFlow,"Our wine critic @JancisRobinson’s resolutions for 2020? 
1) Try more natural wines 
2) Be more aware of sustainability in the wine industry 
3) Simply drink more 

https://t.co/L63xYDq13B"
2107,4898091,2020-01-05 13:22:51+00:00, ,1213813110408142849,en,100,2,5,48,SocialFlow,EU weighs plastics waste tax to plug ‘Brexit gap’ in budget https://t.co/W2fw1tm8Gh
2103,4898091,2020-01-05 14:47:57+00:00, ,1213834525165445122,en,27,4,3,17,SocialFlow,"Esmail Ghaani's military record is impressive, but can he marshal the soft power that made the overseas arm of Iran’s Revolutionary Guard such an effective force under the leadership of Qassem Soleimani?  
 https://t.co/eZY5B8QTYh"
2101,4898091,2020-01-05 15:21:05+00:00, ,1213842863332765696,en,18,1,0,10,SocialFlow,The hottest hotels opening in 2020 https://t.co/TvwHZVaeaW
2098,4898091,2020-01-05 16:31:11+00:00, ,1213860505296801792,en,17,1,0,12,SocialFlow,Spain on track for a coalition government after parliamentary vote https://t.co/KI972trgn2
2097,4898091,2020-01-05 17:04:05+00:00, ,1213868786035699712,en,22,1,2,5,SocialFlow,"New year, new stationery? @LukeEdwardHall has tips on how to find the perfect diaries, notebooks and pens https://t.co/KB8ZOBSLJk"
2096,4898091,2020-01-05 17:37:41+00:00, ,1213877241983180801,en,20,2,9,21,SocialFlow,Boris Johnson to seek fast-track EU trade talks https://t.co/i386ND6eq3
2094,4898091,2020-01-05 18:05:00+00:00, ,1213884115327619078,en,20,4,3,9,SocialFlow,Retaliation fears spread to shipping and stocks https://t.co/vkEyfA8xA2
2095,4898091,2020-01-05 18:05:00+00:00, ,1213884115218567168,en,29,2,4,16,SocialFlow,US on high alert for Iran-backed cyber attacks https://t.co/71AVk1vEhN
2093,4898091,2020-01-05 19:03:05+00:00, ,1213898733215027200,en,12,3,0,9,SocialFlow,Photographer Jeff Mermelstein has captured slices of other people’s lives – through their text messages https://t.co/4aS8jzHjwz
2092,4898091,2020-01-05 19:04:28+00:00, ,1213899080897826816,en,28,2,2,16,SocialFlow,France warns US against digital tax retaliation https://t.co/ONwqjGeMey
2091,4898091,2020-01-05 19:27:05+00:00, ,1213904773444964355,en,68,2,7,41,SocialFlow,Iraqi parliament votes to end US troop presence https://t.co/wLMb4xXeJ9
2090,4898091,2020-01-05 21:05:08+00:00, ,1213929448606752770,en,33,1,3,14,SocialFlow,‘Simply moaning about the state of democracy isn’t enough; we need tangible actions and innovation’ — Gillian Tett on how we can defend democracy https://t.co/QnAsH6tvOY
2089,4898091,2020-01-05 22:02:03+00:00, ,1213943770191978496,en,21,1,0,1,SocialFlow,Planning a trip to the cinema? Here's our guide to what to see (and what to avoid) https://t.co/AIghthVRZw
2087,4898091,2020-01-05 22:57:06+00:00, ,1213957626221993987,en,42,3,3,30,SocialFlow,"Just published: front page of the Financial Times, UK edition, Monday 6 January        https://t.co/jOite2K9gw https://t.co/50CYm1Eouc"
2085,4898091,2020-01-06 00:29:28+00:00, ,1213980869976903680,en,29,0,4,24,SocialFlow,Nationalist mob goes on rampage at secular university in Delhi https://t.co/8ZidVXtRKy
2083,4898091,2020-01-06 02:00:12+00:00, ,1214003703998504960,en,0,0,0,5,SocialFlow,"RT @muradahmed: @FT Well worth your time also reading @HenryJFoy Lunch with the @FT interview with Usmanov, which gives you a great sense o…"
